16:06:38.655164 config: drop-rate=0.00, max-delay=0s, seed=1479243998655052432
17:13:31.265109 [queue=1] packet #2, 127.0.0.1:65292 -> 127.0.0.1:5666, sz=1013 is delayed for 2.1ms
17:13:31.267860 [queue=0] packet #2, 127.0.0.1:65292 -> 127.0.0.1:5666, sz=1013 is delivered
17:13:31.277899 [queue=1] packet #2, 127.0.0.1:5666 -> 127.0.0.1:65292, sz=0 is delayed for 9.9ms
17:13:31.288855 [queue=0] packet #2, 127.0.0.1:5666 -> 127.0.0.1:65292, sz=0 is delivered
17:13:31.290431 [queue=1] packet #3, 127.0.0.1:65292 -> 127.0.0.1:5666, sz=1013 is delayed for 500µs
17:13:31.291142 [queue=0] packet #3, 127.0.0.1:65292 -> 127.0.0.1:5666, sz=1013 is delivered
17:13:31.303301 [queue=1] packet #4, 127.0.0.1:65292 -> 127.0.0.1:5666, sz=1013 is delayed for 3.8ms
17:13:31.308002 [queue=0] packet #4, 127.0.0.1:65292 -> 127.0.0.1:5666, sz=1013 is delivered
17:13:31.310445 [queue=1] packet #3, 127.0.0.1:5666 -> 127.0.0.1:65292, sz=0 is delayed for 5.5ms
17:13:31.317568 [queue=0] packet #3, 127.0.0.1:5666 -> 127.0.0.1:65292, sz=0 is delivered
17:13:31.323306 [queue=1] packet #5, 127.0.0.1:65292 -> 127.0.0.1:5666, sz=1013 is delayed for 1ms
17:13:31.324693 [queue=0] packet #5, 127.0.0.1:65292 -> 127.0.0.1:5666, sz=1013 is delivered
17:13:31.329830 [queue=1] packet #4, 127.0.0.1:5666 -> 127.0.0.1:65292, sz=0 is delayed for 5.6ms
17:13:31.336155 [queue=0] packet #4, 127.0.0.1:5666 -> 127.0.0.1:65292, sz=0 is delivered
17:13:31.347285 [queue=1] packet #6, 127.0.0.1:65292 -> 127.0.0.1:5666, sz=1013 is delayed for 2.8ms
17:13:31.347435 [queue=2] packet #5, 127.0.0.1:5666 -> 127.0.0.1:65292, sz=0 is delayed for 200µs
17:13:31.347802 [queue=1] packet #5, 127.0.0.1:5666 -> 127.0.0.1:65292, sz=0 is delivered
17:13:31.350347 [queue=0] packet #6, 127.0.0.1:65292 -> 127.0.0.1:5666, sz=1013 is delivered
17:13:31.376985 [queue=1] packet #7, 127.0.0.1:65292 -> 127.0.0.1:5666, sz=1013 is delayed for 4.6ms
17:13:31.384335 [queue=0] packet #7, 127.0.0.1:65292 -> 127.0.0.1:5666, sz=1013 is delivered
17:13:31.396748 [queue=1] packet #8, 127.0.0.1:65292 -> 127.0.0.1:5666, sz=1013 is delayed for 7.6ms
17:13:31.404957 [queue=2] packet #6, 127.0.0.1:5666 -> 127.0.0.1:65292, sz=0 is delayed for 1.8ms
17:13:31.407832 [queue=1] packet #8, 127.0.0.1:65292 -> 127.0.0.1:5666, sz=1013 is delivered
17:13:31.409323 [queue=0] packet #6, 127.0.0.1:5666 -> 127.0.0.1:65292, sz=0 is delivered
17:13:31.416208 [queue=1] packet #9, 127.0.0.1:65292 -> 127.0.0.1:5666, sz=978 is delayed for 9.4ms
17:13:31.421061 [queue=2] packet #7, 127.0.0.1:5666 -> 127.0.0.1:65292, sz=0 is delayed for 6.3ms
17:13:31.427544 [queue=1] packet #9, 127.0.0.1:65292 -> 127.0.0.1:5666, sz=978 is delivered
17:13:31.427694 [queue=0] packet #7, 127.0.0.1:5666 -> 127.0.0.1:65292, sz=0 is delivered
17:13:31.544149 [queue=1] packet #8, 127.0.0.1:5666 -> 127.0.0.1:65292, sz=0 is delayed for 2ms
17:13:31.549481 [queue=0] packet #8, 127.0.0.1:5666 -> 127.0.0.1:65292, sz=0 is delivered
17:13:31.619629 [queue=1] packet #9, 127.0.0.1:5666 -> 127.0.0.1:65292, sz=0 is delayed for 5.3ms
17:13:31.625944 [queue=0] packet #9, 127.0.0.1:5666 -> 127.0.0.1:65292, sz=0 is delivered
17:14:13.435755 [queue=1] packet #0, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=0 is delayed for 3.3ms
17:14:13.440161 [queue=0] packet #0, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=0 is delivered
17:14:13.441207 [queue=1] packet #1, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delayed for 5.9ms
17:14:13.447608 [queue=0] packet #1, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delivered
17:14:13.531719 [queue=1] packet #2, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=1013 is delayed for 4.3ms
17:14:13.537502 [queue=0] packet #2, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=1013 is delivered
17:14:13.550561 [queue=1] packet #2, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delayed for 200µs
17:14:13.550842 [queue=0] packet #2, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delivered
17:14:13.567987 [queue=1] packet #3, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=1013 is delayed for 3.6ms
17:14:13.571964 [queue=0] packet #3, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=1013 is delivered
17:14:13.597185 [queue=1] packet #4, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=1013 is delayed for 700µs
17:14:13.598155 [queue=0] packet #4, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=1013 is delivered
17:14:13.616158 [queue=1] packet #3, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delayed for 300µs
17:14:13.616654 [queue=0] packet #3, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delivered
17:14:13.634078 [queue=1] packet #5, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=1013 is delayed for 4.3ms
17:14:13.640942 [queue=0] packet #5, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=1013 is delivered
17:14:13.667252 [queue=1] packet #6, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=1013 is delayed for 9.8ms
17:14:13.667341 [queue=2] packet #4, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delayed for 5.1ms
17:14:13.672719 [queue=1] packet #4, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delivered
17:14:13.677391 [queue=0] packet #6, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=1013 is delivered
17:14:13.685447 [queue=1] packet #7, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=1013 is delayed for 5.7ms
17:14:13.691688 [queue=0] packet #7, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=1013 is delivered
17:14:13.691727 [queue=1] packet #5, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delayed for 1ms
17:14:13.693072 [queue=0] packet #5, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delivered
17:14:13.705709 [queue=1] packet #8, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=1013 is delayed for 8.5ms
17:14:13.716366 [queue=0] packet #8, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=1013 is delivered
17:14:13.727179 [queue=1] packet #6, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delayed for 3.2ms
17:14:13.732976 [queue=0] packet #6, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delivered
17:14:13.733364 [queue=1] packet #9, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=978 is delayed for 5.3ms
17:14:13.739684 [queue=0] packet #9, 127.0.0.1:63849 -> 127.0.0.1:5666, sz=978 is delivered
17:14:13.834502 [queue=1] packet #7, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delayed for 8.2ms
17:14:13.844893 [queue=0] packet #7, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delivered
17:14:13.956138 [queue=1] packet #8, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delayed for 9.7ms
17:14:13.968452 [queue=0] packet #8, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delivered
17:14:14.039988 [queue=1] packet #9, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delayed for 3.7ms
17:14:14.044718 [queue=0] packet #9, 127.0.0.1:5666 -> 127.0.0.1:63849, sz=0 is delivered
17:15:07.986104 [queue=1] packet #0, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=0 is delayed for 9.4ms
17:15:07.998207 [queue=0] packet #0, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=0 is delivered
17:15:07.999320 [queue=1] packet #1, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delayed for 200µs
17:15:07.999730 [queue=0] packet #1, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delivered
17:15:08.111307 [queue=1] packet #2, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=1013 is delayed for 7.9ms
17:15:08.121342 [queue=0] packet #2, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=1013 is delivered
17:15:08.124361 [queue=1] packet #3, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=1013 is delayed for 7ms
17:15:08.130554 [queue=2] packet #2, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delayed for 8.6ms
17:15:08.133301 [queue=1] packet #3, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=1013 is delivered
17:15:08.140765 [queue=0] packet #2, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delivered
17:15:08.149965 [queue=1] packet #3, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delayed for 8.1ms
17:15:08.156475 [queue=2] packet #4, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=1013 is delayed for 7.5ms
17:15:08.160331 [queue=1] packet #3, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delivered
17:15:08.165161 [queue=0] packet #4, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=1013 is delivered
17:15:08.174050 [queue=1] packet #5, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=1013 is delayed for 1ms
17:15:08.175400 [queue=0] packet #5, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=1013 is delivered
17:15:08.193567 [queue=1] packet #6, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=1013 is delayed for 4.9ms
17:15:08.199900 [queue=0] packet #6, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=1013 is delivered
17:15:08.205129 [queue=1] packet #4, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delayed for 1.8ms
17:15:08.209563 [queue=0] packet #4, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delivered
17:15:08.221474 [queue=1] packet #7, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=1013 is delayed for 300µs
17:15:08.223519 [queue=0] packet #7, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=1013 is delivered
17:15:08.228638 [queue=1] packet #5, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delayed for 4.7ms
17:15:08.233570 [queue=0] packet #5, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delivered
17:15:08.244110 [queue=1] packet #8, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=1013 is delayed for 3.2ms
17:15:08.247567 [queue=0] packet #8, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=1013 is delivered
17:15:08.272313 [queue=1] packet #9, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=978 is delayed for 3.9ms
17:15:08.277348 [queue=0] packet #9, 127.0.0.1:49505 -> 127.0.0.1:5666, sz=978 is delivered
17:15:08.277525 [queue=1] packet #6, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delayed for 8.6ms
17:15:08.287452 [queue=0] packet #6, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delivered
17:15:08.291359 [queue=1] packet #7, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delayed for 7.6ms
17:15:08.299602 [queue=0] packet #7, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delivered
17:15:08.428079 [queue=1] packet #8, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delayed for 5.1ms
17:15:08.440729 [queue=0] packet #8, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delivered
17:15:08.533447 [queue=1] packet #9, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delayed for 6.4ms
17:15:08.542650 [queue=0] packet #9, 127.0.0.1:5666 -> 127.0.0.1:49505, sz=0 is delivered
17:15:37.052475 [queue=1] packet #0, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=0 is delayed for 8.3ms
17:15:37.063123 [queue=0] packet #0, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=0 is delivered
17:15:37.064281 [queue=1] packet #1, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delayed for 9ms
17:15:37.073970 [queue=0] packet #1, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delivered
