10:01:28.090558 config: drop-rate=0.00, max-delay=10ms, seed=1
12:49:27.009981 [queue=1] packet #1, 127.0.0.1:5666 -> 127.0.0.1:52249, sz=0 is delayed for 2.6ms
12:49:27.013502 [queue=0] packet #1, 127.0.0.1:5666 -> 127.0.0.1:52249, sz=0 is delivered
12:49:27.058014 [queue=1] packet #2, 127.0.0.1:52249 -> 127.0.0.1:5666, sz=5 is delayed for 9ms
12:49:27.067038 [queue=0] packet #2, 127.0.0.1:52249 -> 127.0.0.1:5666, sz=5 is delivered
12:50:15.445465 [queue=1] packet #0, 127.0.0.1:63127 -> 127.0.0.1:5666, sz=0 is delayed for 6.3ms
12:50:15.453519 [queue=0] packet #0, 127.0.0.1:63127 -> 127.0.0.1:5666, sz=0 is delivered
12:50:15.454504 [queue=1] packet #1, 127.0.0.1:5666 -> 127.0.0.1:63127, sz=0 is delayed for 4.7ms
12:50:15.460503 [queue=0] packet #1, 127.0.0.1:5666 -> 127.0.0.1:63127, sz=0 is delivered
12:50:15.528065 [queue=1] packet #2, 127.0.0.1:63127 -> 127.0.0.1:5666, sz=5 is delayed for 2.4ms
12:50:15.530567 [queue=0] packet #2, 127.0.0.1:63127 -> 127.0.0.1:5666, sz=5 is delivered
12:51:23.533828 [queue=1] packet #0, 127.0.0.1:60188 -> 127.0.0.1:5666, sz=0 is delayed for 5.3ms
12:51:23.540617 [queue=0] packet #0, 127.0.0.1:60188 -> 127.0.0.1:5666, sz=0 is delivered
12:51:23.541104 [queue=1] packet #1, 127.0.0.1:5666 -> 127.0.0.1:60188, sz=0 is delayed for 2.1ms
12:51:23.544116 [queue=0] packet #1, 127.0.0.1:5666 -> 127.0.0.1:60188, sz=0 is delivered
12:51:23.572136 [queue=1] packet #2, 127.0.0.1:60188 -> 127.0.0.1:5666, sz=5 is delayed for 9.9ms
12:51:23.582165 [queue=0] packet #2, 127.0.0.1:60188 -> 127.0.0.1:5666, sz=5 is delivered
12:51:46.012700 [queue=1] packet #0, 127.0.0.1:52878 -> 127.0.0.1:5666, sz=0 is delayed for 500µs
12:51:46.014200 [queue=0] packet #0, 127.0.0.1:52878 -> 127.0.0.1:5666, sz=0 is delivered
12:51:46.015701 [queue=1] packet #1, 127.0.0.1:5666 -> 127.0.0.1:52878, sz=0 is delayed for 3.8ms
12:51:46.020718 [queue=0] packet #1, 127.0.0.1:5666 -> 127.0.0.1:52878, sz=0 is delivered
12:51:46.098777 [queue=1] packet #2, 127.0.0.1:52878 -> 127.0.0.1:5666, sz=5 is delayed for 5.5ms
12:51:46.105283 [queue=0] packet #2, 127.0.0.1:52878 -> 127.0.0.1:5666, sz=5 is delivered
12:52:36.322503 [queue=1] packet #0, 127.0.0.1:49281 -> 127.0.0.1:5666, sz=0 is delayed for 1ms
12:52:36.324478 [queue=0] packet #0, 127.0.0.1:49281 -> 127.0.0.1:5666, sz=0 is delivered
12:52:36.326979 [queue=1] packet #1, 127.0.0.1:5666 -> 127.0.0.1:49281, sz=0 is delayed for 5.6ms
12:52:36.335012 [queue=0] packet #1, 127.0.0.1:5666 -> 127.0.0.1:49281, sz=0 is delivered
12:52:36.398548 [queue=1] packet #2, 127.0.0.1:49281 -> 127.0.0.1:5666, sz=5 is delayed for 2.8ms
12:52:36.402033 [queue=0] packet #2, 127.0.0.1:49281 -> 127.0.0.1:5666, sz=5 is delivered
12:52:54.771521 [queue=1] packet #0, 127.0.0.1:49282 -> 127.0.0.1:5666, sz=0 is delayed for 200µs
12:52:54.774020 [queue=0] packet #0, 127.0.0.1:49282 -> 127.0.0.1:5666, sz=0 is delivered
12:52:54.777022 [queue=1] packet #1, 127.0.0.1:5666 -> 127.0.0.1:49282, sz=0 is delayed for 4.6ms
12:52:54.783025 [queue=0] packet #1, 127.0.0.1:5666 -> 127.0.0.1:49282, sz=0 is delivered
12:52:54.838064 [queue=1] packet #2, 127.0.0.1:49282 -> 127.0.0.1:5666, sz=5 is delayed for 7.6ms
12:52:54.846088 [queue=0] packet #2, 127.0.0.1:49282 -> 127.0.0.1:5666, sz=5 is delivered
12:54:00.702921 config: drop-rate=0.00, max-delay=10ms, seed=1
12:54:00.704918 router is listening at :3000
13:04:48.919511 [queue=1] packet #0, 127.0.0.1:65280 -> 127.0.0.1:5666, sz=0 is delayed for 8.7ms
13:04:48.929543 [queue=0] packet #0, 127.0.0.1:65280 -> 127.0.0.1:5666, sz=0 is delivered
13:04:48.931541 [queue=1] packet #1, 127.0.0.1:5666 -> 127.0.0.1:65280, sz=0 is delayed for 5.9ms
13:04:48.938071 [queue=0] packet #1, 127.0.0.1:5666 -> 127.0.0.1:65280, sz=0 is delivered
13:04:49.076655 [queue=1] packet #2, 127.0.0.1:65280 -> 127.0.0.1:5666, sz=5 is delayed for 1.8ms
13:04:49.079157 [queue=0] packet #2, 127.0.0.1:65280 -> 127.0.0.1:5666, sz=5 is delivered
13:59:03.591924 [queue=1] packet #0, 127.0.0.1:50246 -> 127.0.0.1:5666, sz=0 is delayed for 4ms
13:59:03.597432 [queue=0] packet #0, 127.0.0.1:50246 -> 127.0.0.1:5666, sz=0 is delivered
13:59:03.598429 [queue=1] packet #1, 127.0.0.1:5666 -> 127.0.0.1:50246, sz=0 is delayed for 0s
13:59:03.601441 [queue=0] packet #1, 127.0.0.1:5666 -> 127.0.0.1:50246, sz=0 is delivered
13:59:03.667498 [queue=1] packet #2, 127.0.0.1:50246 -> 127.0.0.1:5666, sz=5 is delayed for 1.1ms
13:59:03.668979 [queue=0] packet #2, 127.0.0.1:50246 -> 127.0.0.1:5666, sz=5 is delivered
